DAY_ID,POSITION,SPLIT,ID_FR,ID_DE
1151,0,test,932,
992,1,train,933,
740,2,train,934,
52,3,train,935,
28,4,train,936,
65,5,train,937,
874,6,train,938,
245,7,test,939,
802,8,train,940,
976,9,test,941,
1141,10,train,942,
843,11,test,943,
594,12,train,944,
927,13,train,945,
308,14,train,946,
902,15,train,947,
386,16,test,948,
871,17,test,949,
354,18,train,950,
58,19,train,951,
159,20,train,952,
186,21,train,953,
244,22,test,954,
1069,23,train,955,
75,24,train,956,
157,25,train,957,
126,26,train,958,
744,27,train,959,
723,28,test,960,
322,29,train,961,
873,30,test,962,
1171,31,train,963,
804,32,train,964,
212,33,train,965,
777,34,train,966,
103,35,test,967,
753,36,test,968,
1173,37,train,969,
995,38,train,970,
845,39,train,971,
1209,40,train,972,
520,41,test,973,
1150,42,train,974,
966,43,test,975,
770,44,train,976,
228,45,train,977,
749,46,train,978,
273,47,train,979,
875,48,train,980,
182,49,train,981,
1010,50,test,982,
1035,51,test,983,
197,52,train,984,
793,53,train,985,
669,54,train,986,
462,55,train,987,
451,56,test,988,
89,57,train,989,
1153,58,train,990,
1109,59,train,991,
486,60,train,992,
50,61,train,993,
699,62,train,994,
853,63,train,995,
415,64,test,996,
676,65,test,997,
366,66,train,998,
534,67,train,999,
830,68,test,1000,
234,69,test,1001,
489,70,test,1002,
680,71,train,1003,
1033,72,train,1004,
867,73,train,1005,
581,74,train,1006,
401,75,train,1007,
698,76,train,1008,
737,77,train,1009,
438,78,test,1010,
527,79,test,1011,
1026,80,train,1012,
368,81,train,1013,
876,82,train,1014,
717,83,train,1015,
863,84,train,1016,
151,85,train,1017,
1186,86,train,1018,
132,87,test,1019,
738,88,train,1020,
29,89,train,1021,
639,90,train,1022,
940,91,train,1023,
238,92,train,1024,
323,93,train,1025,
628,94,test,1026,
1158,95,train,1027,
769,96,train,1028,
1180,97,test,1029,
1122,98,train,1030,
1020,99,train,1031,
379,100,train,1032,
747,101,train,1033,
350,102,test,1034,
51,103,test,1035,
507,104,test,1036,
575,105,train,1037,
233,106,test,1038,
743,107,test,1039,
478,108,train,1040,
999,109,test,1041,
193,110,test,1042,
404,111,test,1043,
883,112,test,1044,
487,113,train,1045,
471,114,train,1046,
256,115,test,1047,
894,116,train,1048,
1215,117,train,1049,
138,118,train,1050,
491,119,train,1051,
578,120,train,1052,
706,121,train,1053,
206,122,train,1054,
848,123,train,1055,
1204,124,train,1056,
0,125,train,1057,
226,126,test,1058,
249,127,train,1059,
889,128,test,1060,
705,129,test,1061,
979,130,test,1062,
1029,131,test,1063,
283,132,train,1064,
313,133,train,1065,
596,134,train,1066,
59,135,train,1067,
47,136,train,1068,
1136,137,train,1069,
1093,138,train,1070,
986,139,train,1071,
969,140,train,1072,
1172,141,train,1073,
1159,142,test,1074,
758,143,train,1075,
978,144,train,1076,
1126,145,train,1077,
312,146,train,1078,
91,147,train,1079,
721,148,train,1080,
734,149,train,1081,
811,150,test,1082,
459,151,test,1083,
1139,152,test,1084,
849,153,test,1085,
383,154,train,1086,
17,155,test,1087,
955,156,train,1088,
1090,157,train,1089,
1066,158,train,1090,
987,159,train,1091,
1014,160,train,1092,
1176,161,train,1093,
1196,162,train,1094,
125,163,train,1095,
511,164,train,1096,
76,165,train,1097,
930,166,train,1098,
141,167,train,1099,
585,168,train,1100,
818,169,train,1101,
1177,170,train,1102,
787,171,train,1103,
555,172,train,1104,
1056,173,train,1105,
15,174,train,1106,
435,175,test,1107,
498,176,train,1108,
619,177,train,1109,
450,178,train,1110,
766,179,train,1111,
35,180,test,1112,
947,181,train,1113,
981,182,test,1114,
241,183,test,1115,
529,184,train,1116,
343,185,train,1117,
886,186,train,1118,
506,187,train,1119,
1205,188,train,1120,
215,189,train,1121,
208,190,test,1122,
945,191,train,1123,
64,192,train,1124,
10,193,test,1125,
252,194,test,1126,
603,195,test,1127,
805,196,train,1128,
1124,197,test,1129,
314,198,train,1130,
518,199,test,1131,
465,200,train,1132,
931,201,train,1133,
963,202,train,1134,
842,203,test,1135,
367,204,train,1136,
145,205,train,1137,
362,206,train,1138,
630,207,train,1139,
90,208,train,1140,
321,209,train,1141,
185,210,train,1142,
924,211,train,1143,
868,212,train,1144,
756,213,train,1145,
119,214,train,1146,
1062,215,train,1147,
840,216,train,1148,
493,217,train,1149,
443,218,train,1150,
338,219,test,1151,
1108,220,train,1152,
224,221,train,1153,
19,222,test,1154,
1096,223,test,1155,
418,224,train,1156,
1099,225,train,1157,
991,226,test,1158,
385,227,train,1159,
929,228,train,1160,
452,229,test,1161,
264,230,train,1162,
1064,231,train,1163,
160,232,test,1164,
110,233,train,1165,
303,234,train,1166,
1191,235,test,1167,
48,236,train,1168,
509,237,train,1169,
18,238,train,1170,
1067,239,test,1171,
934,240,train,1172,
1114,241,train,1173,
885,242,train,1174,
275,243,test,1175,
114,244,train,1176,
727,245,train,1177,
1155,246,train,1178,
1,247,train,1179,
227,248,train,1180,
133,249,test,1181,
248,250,train,1182,
496,251,train,1183,
960,252,test,1184,
335,253,train,1185,
439,254,train,1186,
1166,255,train,1187,
812,256,train,1188,
1051,257,train,1189,
441,258,test,1190,
1162,259,train,1191,
1113,260,train,1192,
